" ""givenName"" "," ""otherName"" "," ""familyName"" "," ""email"" "," ""addressLine1"" "," ""addressLine2"" "," ""addressLine3"" "," ""addressLine4"" "," ""addressLine5"" "," ""postCode"" "
" ""Nigel"" "," ""John"" "," ""Mills"" "," ""nigel.mills.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Scott,  ,Benton,scott.benton.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Leo"" ",  ," ""Docherty"" "," ""leo.docherty.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Michael,  ,Whitley,mick.whitley.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""John"" "," ""Michael"" "," ""Howell"" "," ""howelljm@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Dawn"" "," ""Petula"" "," ""Butler"" "," ""dawn.butler.mp@parliament.uk"" "," ""House of Commons "" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Judith"" "," ""Mary"" "," ""Cummins"" "," ""judith.cummins.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Christopher"" ",  ," ""Heaton-Harris"" "," ""chris.heatonharris.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Rosemary"" "," ""Clare"" "," ""Duffield"" "," ""rosie.duffield.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Bernard"" "," ""Christison"" "," ""Jenkin"" "," ""bernard.jenkin.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""James"" ",,Daly,james.daly.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Taiwo,  ,Owatemi,taiwo.owatemi.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Zarah,,Sultana,zarah.sultana.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""James"" ",  ," ""Morris"" "," ""james.morris.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Lee"" "," ""Benjamin"" "," ""Rowley"" "," ""lee.rowley.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Stephen"" ",  ," ""Barclay"" "," ""stephen.barclay.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Yvonne"" "," ""Helen"" "," ""Fovargue"" "," ""yvonne.fovargue.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Robert"" ",  ," ""Goodwill"" "," ""robert.goodwill.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Pauline"" "," ""Elizabeth"" "," ""Latham"" "," ""pauline.latham.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Robert,,Moore,robbie.moore.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""James"" ",  ," ""McMahon"" "," ""jim.mcmahon.mp@parliament.uk "" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Nicola,,Richards,nicola.richards.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Alexander"" "," ""James Jorden"" "," ""Norris"" "," ""alex.norris.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Michael"" "," ""James"" "," ""Tomlinson-Mynors"" "," ""michael.tomlinson.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""David"" "," ""John"" "," ""Warburton"" "," ""david.warburton.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Gavin"" "," ""Alexander"" "," ""Williamson"" "," ""gavin.williamson.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Harriett"" "," ""Mary Morison"" "," ""Baldwin"" "," ""harriett.baldwin.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Andrew"" "," ""George"" "," ""Stephenson"" "," ""andrew.stephenson.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Adam"" "," ""James Harold"" "," ""Holloway"" "," ""hollowaya@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Alexander"" "," ""Jesse"" "," ""Norman"" "," ""jesse.norman.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Timothy"" "," ""James"" "," ""Farron"" "," ""farront@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Charlotte,,Nichols,charlotte.nichols.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Florence,,Eshalomi,florence.eshalomi.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Angela"" ",  ," ""Eagle"" "," ""eaglea@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Virginia,  ,Crosbie,virginia.crosbie.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
Simon,,Baynes,simon.baynes.mp@parliament.uk," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Robin"" "," ""Caspar"" "," ""Walker"" "," ""robin.walker.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
" ""Alison"" ",  ," ""McGovern"" "," ""alison.mcgovern.mp@parliament.uk"" "," ""House of Commons"" "," ""London"" ",  ,  ,  ," ""SW1A 0AA"" "
